,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
10,NpFf8Tqho,osama,[1]Used as if muslims are terrorists.,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 17:20:32,2021-01-09 17:20:32
11,8dxftygpg,lobby gay,Supporters of a presumed gay agenda,,False,,38.0,eng,,,,False,False,False,False,True,False,False,0,0,0,2019-10-21 13:44:00,2020-12-09 16:02:42
12,AHqPuzqak,mongoloid,"The term Mongoloid has had a second usage referencing Down syndrome, now generally regarded as highly offensive. - Wikipedia",Mongoloid (/ˈm,False,,75.0,eng,,,,False,False,False,False,False,True,False,0,0,0,2020-11-18 19:20:59,2020-11-18 19:20:59
13,7nLdosBKg,sandnigger,"Derogatory term for a person from the Middle East, Arab, South Asian world",,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:04:12,2020-08-24 09:04:12
14,T6auDhq9R,Bengali,"Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them ""Bengali"" indicates they should be eliminated from Myanmar. Muslims in India are also treated the same way",A Bengali citizen or inhabitant of Bangladesh,False,,43.0,eng,,,,True,True,True,False,False,False,False,0,0,0,2013-05-22 22:32:09,2020-06-03 14:48:25
15,vqsyffkze,rapefugees,Indicating refugees are rapist,,False,,,eng,,,,False,False,False,False,False,False,True,0,0,0,2020-05-27 12:07:49,2020-05-27 17:22:16
16,ayhoGnAxg,Girl,"A disrespectful, belittling term used to refer to an adult woman.",A term used to refer to a female child.,False,,50.0,eng,,,,False,False,False,True,False,False,False,0,0,0,2020-01-06 18:34:23,2020-01-06 18:34:23
17,oLVQyHuFA,whitie,A Caucasian.,,False,,,eng,,whitey,,False,True,False,False,False,False,False,8,0,0,2020-01-05 15:20:49,2020-01-05 15:20:49
18,WXianaa2P,fish wagon,A derogatory term for a person who suffers from a sexually transmitted disease.,,False,,50.0,eng,,,,False,False,False,False,False,True,False,1,0,0,2019-12-21 14:39:59,2019-12-21 14:39:59
19,CPZaHMujK,skank,a dirty or promiscuous woman,a type of dance,False,,50.0,eng,,,,False,False,False,True,False,False,False,1,0,0,2019-12-02 16:35:12,2019-12-02 16:35:12
20,w9CQ9KeW4,gun burglar,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,89.0,eng,,gin jockey,,False,True,False,False,False,False,False,0,0,0,2014-02-03 23:40:56,2019-11-23 15:12:35
21,AYJoGxaFV,gun burglars,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,,eng,gun burglar,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:34:25,2019-11-23 15:12:29
22,QgCzdCQBw,kanaka,[1] An offensive term for Pacific Islander [2] Dated reference to Pacific Islander labourers,Kanaka maoli can refer in a non-pejorative sense to people of Hawaiian descent,False,,91.0,eng,,,,False,True,False,False,False,False,False,19,0,0,2018-11-01 19:42:18,2019-11-01 19:14:03
23,zzaVUeKA8,cracker,"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.",[1] Snack [2] Hacker [3] American musical group [4] British television show,False,,46.0,eng,,,,False,True,False,False,False,False,True,1060,57,5,2013-04-18 17:34:47,2019-10-30 22:57:19
24,niaHtmNyk,ABCs,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,31.0,eng,ABC,,,True,True,False,False,False,False,False,2,0,0,2018-11-01 20:33:27,2019-10-30 22:55:46
25,rnAN2dkU6,ABC,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,28.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2013-08-20 18:40:47,2019-10-30 22:55:41
26,j7UaZBb9F,rube,A rural person.,,False,,53.0,eng,,,,False,False,False,False,False,False,True,166,28,1,2013-06-24 04:50:22,2019-10-30 22:53:42
27,WRaKdghPn,whoriental,An Asian woman (or less often a man) who is promiscuous.,,False,,,eng,,,,False,True,False,True,False,False,False,6,1,1,2019-04-11 20:25:57,2019-10-30 22:50:51
28,jTQCcisbD,whorientals,,,False,,,eng,whoriental,,,False,True,False,True,False,False,False,4,0,0,2019-04-11 20:27:05,2019-10-30 22:50:47
29,zPmE2uCCg,hoosier,A rural or unsophisticated person,A person from Indiana,False,,88.0,eng,,,,False,False,False,False,False,False,True,0,0,0,2013-08-09 15:28:04,2019-10-30 22:47:18
30,pbWuDaapo,hooknoses,,,False,,,eng,hooknose,,,False,True,True,False,False,False,False,16,0,0,2019-04-12 17:15:34,2019-10-30 22:46:53
31,arAfRhXak,hooknosed,,,False,,,eng,,hooknose,,False,True,True,False,False,False,False,155,6,1,2019-04-12 17:16:15,2019-10-30 22:46:48
32,JWkFPrJmY,hooknose,Referring to a stereotypical facial feature of Jewish people,,False,,,eng,,,,False,True,True,False,False,False,False,108,8,0,2019-04-12 17:14:59,2019-10-30 22:46:44
33,hExD3rxQp,dagowops,,,False,,100.0,eng,dagowop,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:19:09,2019-10-30 22:43:58
34,oVFNgdGCE,dagowop,"Combination of ""Dago"" and ""Wop""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2019-04-12 15:18:23,2019-10-30 22:43:54
35,kurvPtF7E,chimp-outs,,,False,,,eng,chimp pack,,,False,True,False,False,False,False,False,18,0,0,2019-02-28 19:37:37,2019-10-30 22:43:01
36,pdqCdUuiB,bean bandit,Referring to Hispanic people,,False,,75.0,eng,,,,False,True,False,False,False,False,False,31,5,0,2019-04-11 20:41:41,2019-10-30 22:40:46
37,kpYzwEddG,bean bandits,,,False,,75.0,eng,bean bandit,,,False,True,False,False,False,False,False,7,1,0,2019-04-11 20:42:16,2019-10-30 22:40:39
38,fB3bwakms,lipstick lesbians,,,False,,,eng,lipstick lesbian,,,False,False,False,False,True,False,False,86,17,0,2019-03-17 17:47:43,2019-10-30 22:36:55
39,zPrJTQa6Y,libtard,Contraction of liberal and retard,,False,,45.0,eng,,,,False,False,False,False,False,True,False,714,106,19,2019-05-07 20:05:39,2019-10-30 22:36:51
40,qVTLPxNRc,jihadi-americans,,,False,,,eng,jihadi-american,,,False,True,True,False,False,False,False,0,0,0,2019-04-12 17:09:24,2019-10-30 22:36:47
41,BjWPVTHeu,jihadi-american,"Derogatory play on hyphenated ethnicity, relating to Muslims or Arabs more broadly.",,False,,,eng,,,,False,True,True,False,False,False,False,0,0,0,2019-04-12 17:08:44,2019-10-30 22:36:43
42,FNJHyjEyU,gyppoes,,,False,,,eng,gyppo,gypos,,False,True,False,False,False,False,False,1,0,0,2019-04-08 14:26:23,2019-10-30 22:36:40
43,HBT8LPDiC,gypoes,,,False,,,eng,gypo,gypos,,False,True,False,False,False,False,False,2,0,0,2019-04-08 14:25:36,2019-10-30 22:36:35
44,soUDwjTpk,gooky eyes,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,7,1,0,2019-04-08 14:19:16,2019-10-30 22:33:20
45,uDVwuXLbi,gooklets,,,False,,96.0,eng,gooklet,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:51,2019-10-30 22:33:16
46,MHqMsGDUB,gooklet,,,False,,75.0,eng,,gook,,False,True,False,False,False,False,False,0,0,0,2019-04-08 14:23:09,2019-10-30 22:33:12
47,hvHEkesvW,gookettes,,,False,,,eng,gookette,gook,,False,True,False,True,False,False,False,4,0,0,2019-04-08 14:22:02,2019-10-30 22:33:08
48,GTfRPDnWk,gookette,,,False,,100.0,eng,,gook,,False,True,False,False,False,False,False,1,1,1,2019-04-08 14:20:58,2019-10-30 22:33:04
49,cNex4ZaCh,gook eyed,,,False,,,eng,,gook eyes,,False,True,False,False,False,False,False,1,0,0,2019-04-08 14:20:12,2019-10-30 22:32:59
50,NhwQUP9Hg,ghetto monkeys,,,False,,,eng,ghetto monkey,,,False,True,False,False,False,False,False,62,12,1,2019-04-12 17:00:51,2019-10-30 22:32:55
51,riyCcVeuu,ghetto monkey,,,False,,,eng,,porch monkey,,False,True,False,False,False,False,False,80,11,0,2019-04-12 16:59:54,2019-10-30 22:32:50
52,9Tbjnfbjc,filthypinos,,,False,,,eng,filthypino,,,True,False,False,False,False,False,False,4,2,0,2019-04-12 15:30:22,2019-10-30 22:32:45
53,ahoDNdRbm,filthypinoes,,,False,,50.0,eng,,filthypinos,,True,False,False,False,False,False,False,0,0,0,2019-04-12 15:31:09,2019-10-30 22:32:41
54,nJXyLAJPa,filthypino,A portmanteau of the word 'filthy' and 'Filipino',,False,,100.0,eng,,,,True,False,False,False,False,False,False,0,0,0,2019-04-12 15:29:46,2019-10-30 22:32:37
55,xpzmtaysc,deminigger,,,False,,100.0,eng,,seminiggers,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:22:21,2019-10-30 22:29:32
56,P6zCCm9iW,deminiggers,,,False,,,eng,deminigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:22:58,2019-10-30 22:29:26
57,mngQLBoHf,seminigger,,,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:20:19,2019-10-30 22:29:21
58,TQzKRXetW,seminiggers,,,False,,,eng,seminigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:21:17,2019-10-30 22:29:17
59,VZZmYnYuJ,canniglets,,,False,,44.0,eng,canigglet,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:13:17,2019-10-30 22:27:27
60,p9fWmsroo,canigglet,,,False,,44.0,eng,,canigger,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:12:27,2019-10-30 22:27:22
61,nQDqrqYkr,caniggers,,,False,,,eng,canigger,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:11:33,2019-10-30 22:27:18
62,BDRxjhmjx,canigger,"Combination of ""Canadian"" and ""Nigger""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,3,0,0,2019-04-12 15:10:48,2019-10-30 22:27:12
63,xoN9ZyHBQ,cairo coons,,,False,,,eng,cairo coon,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:09:21,2019-10-30 22:27:08
64,ypirmXBvE,cairo coon,,,False,,,eng,,sand nigger,,True,True,False,False,False,False,False,4,4,0,2019-04-12 15:08:44,2019-10-30 22:27:04
65,kAQVNHGsZ,bushniglets,,,False,,,eng,bushniglet,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:06:50,2019-10-30 22:25:54
66,p4WtmrY9q,bushniglet,,,False,,,eng,,bushnigger,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:06:13,2019-10-30 22:25:48
67,ukssEgvww,bushniggers,,,False,,68.0,eng,bushnigger,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:05:20,2019-10-30 22:25:43
68,Pxmt8yfmv,bushnigger,Referring to North American Aboriginals specifically,,False,,84.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2019-04-12 15:04:07,2019-10-30 22:25:35
69,vmudnDokA,bush bandits,,,False,,,eng,bush bandit,,,False,True,False,False,False,False,False,1,0,0,2019-04-11 20:57:23,2019-10-30 22:25:30
70,Ln4hCRsTN,bush bandit,Referring to North American aboriginals,,False,,88.0,eng,,,,False,True,False,False,False,False,False,7,0,0,2019-04-11 20:56:41,2019-10-30 22:25:25
71,ZfqCyhVKw,border bandits,,,False,,,eng,border bandit,,,True,True,False,False,False,False,False,22,0,0,2019-04-11 20:49:58,2019-10-30 22:23:48
72,KyboRTCwd,border banditos,,,False,,,eng,border bandito,,,True,True,False,False,False,False,False,0,0,0,2019-04-11 20:51:45,2019-10-30 22:23:42
73,hTJhDMqdr,border bandit,,,False,,,eng,,border jumpers,,True,True,False,False,False,False,False,7,0,0,2019-04-11 20:49:13,2019-10-30 22:23:36
74,dwDmDCXij,border banditoes,,,False,,,eng,,border banditos,,True,True,False,False,False,False,False,0,0,0,2019-04-11 20:52:37,2019-10-30 22:23:31
75,gT9FTdniK,african't,A lazy or unemployed black person.,,False,,75.0,eng,,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:31:46,2019-10-30 22:19:38
76,hVan9PHKD,african'ts,,,False,,75.0,eng,african't,,,False,True,False,False,False,False,True,0,0,0,2019-04-11 20:32:31,2019-10-30 22:19:30
77,fqyEdwXg2,WASPy,"Having the stereotypical characteristics of a white, anglo-saxon protestant",,False,,38.0,eng,,WASP,,False,True,False,False,False,False,False,199,17,2,2018-11-01 20:38:48,2019-10-30 19:26:09
78,T67WEnanA,Uncle Tom,A black person perceived as behaving in a subservient manner to white authority figures.,A person's name,False,,80.0,eng,,,,False,True,False,False,False,False,False,1379,34,2,2013-06-21 23:18:42,2019-10-30 19:25:31
79,AfUHKcKtu,jewtarded,The combination of 'jew' and 'retarded',,True,,98.0,eng,,jewtard,,False,True,True,False,False,True,False,2,0,0,2018-11-01 20:35:44,2019-10-30 19:22:56
80,7e7d4zV6R,jigaboo,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,True,,99.0,eng,,,,False,True,False,False,False,False,False,2826,189,14,2013-06-22 00:12:03,2019-10-30 19:22:36
81,m3hnwsCjb,jewtard,The combination of 'jew' and 'retard',,True,,99.0,eng,,,,False,True,True,False,False,True,False,26,2,0,2018-11-01 19:42:18,2019-10-30 18:19:16
82,Dnx4Amkhr,cunt,"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.",,False,,90.0,eng,,,,False,False,False,True,False,False,False,2,0,0,2013-04-12 03:41:15,2019-10-24 22:37:42
83,kTfx93ZPU,twat,"An idiot or offensive person, generally male, who is being compared to female genitalia",,False,,41.0,eng,,,,False,False,False,True,False,False,False,0,0,0,2014-06-17 21:32:44,2019-10-24 22:36:53
84,U7LZHsdGq,spicks,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,75.0,eng,spick,,,False,True,False,False,False,False,False,303,18,1,2018-11-01 20:38:33,2019-10-24 20:25:21
85,wWQcHVUcD,mud ducks,White supremacist term for a black person.,,False,,,eng,mud duck,,,False,True,False,False,False,False,False,336,36,5,2018-11-01 20:36:06,2019-10-24 20:22:55
86,kohiUCEH9,mangia cakes,"A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.",,False,,,eng,mangia cake,,,False,True,False,False,False,False,False,11,0,0,2018-11-01 20:35:56,2019-10-24 20:22:36
87,Uvp8LRYkF,lawn jockeys,"A black person, from the traditional statue.",A decorative garden statue,False,,,eng,lawn jockey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:35:52,2019-10-24 20:21:05
88,rg2Jxq9YD,limey,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,,False,,40.0,eng,,,,True,False,False,False,False,False,False,609,13,1,2013-04-28 03:59:56,2019-10-24 20:20:58
89,KnpraUMwu,limeys,A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.,,False,,,eng,limey,,,True,False,False,False,False,False,False,497,60,8,2018-11-01 20:35:54,2019-10-24 20:20:51
90,QZ679UmzV,honky,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",,False,,57.0,eng,,,,False,True,False,False,False,False,False,44,0,0,2013-06-22 08:44:29,2019-10-24 20:20:17
91,KCqZGT3G7,honkey,"A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.",,False,,50.0,eng,,honky,,False,True,False,False,False,False,False,1462,67,12,2013-06-22 09:15:35,2019-10-24 20:19:30
92,PZTMUJ8RT,hebes,"A Jewish person, derived from the word 'Hebrew'.",A type of shrub,False,,,eng,hebe,,,False,True,True,False,False,False,False,68,0,0,2018-11-01 20:34:28,2019-10-24 20:17:53
93,nzfojxxfi,hillbillies,"A rural person, particularly Americans of Appalachia or Ozark heritage.",,False,,,eng,hillbilly,,,False,False,False,False,False,False,False,558,40,7,2018-11-01 20:34:29,2019-10-24 20:17:28
94,Gj2Tgd8ky,hayseed,A rural person.,,False,,74.0,eng,,,,False,False,False,False,False,False,True,930,48,5,2013-06-20 00:17:21,2019-10-24 20:17:16
95,4l7EuPtJs,half breeds,One who is of mixed race.,,False,,,eng,half breed,,,False,True,False,False,False,False,False,35,0,0,2018-11-01 20:34:27,2019-10-24 20:16:34
96,eTHuefz6U,greaseball,A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.,,False,,74.0,eng,,,,True,True,False,False,False,False,False,0,0,0,2013-05-10 11:20:42,2019-10-24 20:15:00
97,EGjLcktxh,gypped,"To be cheated or stolen from, derived from 'gypsy'",,False,,50.0,eng,gyp,,,False,True,False,False,False,False,False,392,30,2,2018-11-01 20:34:26,2019-10-24 20:14:54
98,4vMX4H94C,gyp,"[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.",,False,,70.0,eng,,gyppo,,False,True,False,False,False,False,False,11,0,0,2013-05-08 20:56:46,2019-10-24 20:14:41
99,tyCaffrTB,dot heads,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",,False,,84.0,eng,dot head,,,True,True,False,False,False,False,False,26,1,0,2018-11-01 20:34:10,2019-10-24 20:14:03
100,vTDeD7YR2,Paedo,Often deployed against Muslims on social media to imply that they engage in sexual abuse of children,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:37:07,2021-01-11 13:02:53
101,ebHNRfJax,Hodgie,Potentially degrades [1] traditional-looking Muslims and [2] brown-skinned people,"Slang offshoot of term ""Hajji"" (that means a Muslim who has gone to Hajj -pilgrimage)",False,,75.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 02:19:06,2021-01-11 12:58:05
102,cdtmegdan,sand ape,Variant of 'sand nigger' in relation to inhabitants of desert regions or Arabs / Muslims in general,,False,,100.0,eng,,sand monkeys,,False,True,True,False,False,False,False,0,0,0,2021-01-09 22:39:08,2021-01-09 22:39:08
103,TXTXsPJiF,islamization,"[1] Muslim conspiracy to take over the West, extremely degrading",,False,,50.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:31:10,2021-01-09 22:31:10
104,yUXynqvWQ,porki,"A person from South Asia or the Middle East, particularly a person from Pakistan.",,False,,75.0,eng,,paki,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:23:40,2021-01-09 22:23:40
105,nhdtBLCpN,halalability,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:58,2021-01-09 22:19:21
106,GGqGTXdBQ,halal,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,,eng,,halalification,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:18:10,2021-01-09 22:18:10
107,yksZppzhx,halalification,[1] Muslim conspiracy theory to take over [2] Degrading/derogatory,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 22:16:51,2021-01-09 22:17:15
108,bQktraoXY,Muzrat,Derogatory portmanteau of Muslim and 'rat',,False,,100.0,eng,,muzzrats,,False,False,True,False,False,False,False,0,0,0,2021-01-09 21:59:42,2021-01-09 21:59:42
109,VJarJqGF8,Towelhead,[1] Demeans muslims dressed in traditional clothes especially women.,,False,,100.0,eng,,,,False,False,True,True,False,False,False,0,0,0,2021-01-09 17:22:37,2021-01-09 17:22:37
110,NpFf8Tqho,osama,[1]Used as if muslims are terrorists.,,False,,100.0,eng,,,,False,False,True,False,False,False,False,0,0,0,2021-01-09 17:20:32,2021-01-09 17:20:32
111,8dxftygpg,lobby gay,Supporters of a presumed gay agenda,,False,,38.0,eng,,,,False,False,False,False,True,False,False,0,0,0,2019-10-21 13:44:00,2020-12-09 16:02:42
112,AHqPuzqak,mongoloid,"The term Mongoloid has had a second usage referencing Down syndrome, now generally regarded as highly offensive. - Wikipedia",Mongoloid (/ˈm,False,,75.0,eng,,,,False,False,False,False,False,True,False,0,0,0,2020-11-18 19:20:59,2020-11-18 19:20:59
113,7nLdosBKg,sandnigger,"Derogatory term for a person from the Middle East, Arab, South Asian world",,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:04:12,2020-08-24 09:04:12
114,T6auDhq9R,Bengali,"Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them ""Bengali"" indicates they should be eliminated from Myanmar. Muslims in India are also treated the same way",A Bengali citizen or inhabitant of Bangladesh,False,,43.0,eng,,,,True,True,True,False,False,False,False,0,0,0,2013-05-22 22:32:09,2020-06-03 14:48:25
115,vqsyffkze,rapefugees,Indicating refugees are rapist,,False,,,eng,,,,False,False,False,False,False,False,True,0,0,0,2020-05-27 12:07:49,2020-05-27 17:22:16
116,ayhoGnAxg,Girl,"A disrespectful, belittling term used to refer to an adult woman.",A term used to refer to a female child.,False,,50.0,eng,,,,False,False,False,True,False,False,False,0,0,0,2020-01-06 18:34:23,2020-01-06 18:34:23
117,oLVQyHuFA,whitie,A Caucasian.,,False,,,eng,,whitey,,False,True,False,False,False,False,False,8,0,0,2020-01-05 15:20:49,2020-01-05 15:20:49
118,WXianaa2P,fish wagon,A derogatory term for a person who suffers from a sexually transmitted disease.,,False,,50.0,eng,,,,False,False,False,False,False,True,False,1,0,0,2019-12-21 14:39:59,2019-12-21 14:39:59
119,CPZaHMujK,skank,a dirty or promiscuous woman,a type of dance,False,,50.0,eng,,,,False,False,False,True,False,False,False,1,0,0,2019-12-02 16:35:12,2019-12-02 16:35:12
120,w9CQ9KeW4,gun burglar,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,89.0,eng,,gin jockey,,False,True,False,False,False,False,False,0,0,0,2014-02-03 23:40:56,2019-11-23 15:12:35
121,AYJoGxaFV,gun burglars,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,,eng,gun burglar,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:34:25,2019-11-23 15:12:29
122,QgCzdCQBw,kanaka,[1] An offensive term for Pacific Islander [2] Dated reference to Pacific Islander labourers,Kanaka maoli can refer in a non-pejorative sense to people of Hawaiian descent,False,,91.0,eng,,,,False,True,False,False,False,False,False,19,0,0,2018-11-01 19:42:18,2019-11-01 19:14:03
123,zzaVUeKA8,cracker,"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.",[1] Snack [2] Hacker [3] American musical group [4] British television show,False,,46.0,eng,,,,False,True,False,False,False,False,True,1060,57,5,2013-04-18 17:34:47,2019-10-30 22:57:19
124,niaHtmNyk,ABCs,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,31.0,eng,ABC,,,True,True,False,False,False,False,False,2,0,0,2018-11-01 20:33:27,2019-10-30 22:55:46
125,rnAN2dkU6,ABC,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,28.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2013-08-20 18:40:47,2019-10-30 22:55:41
126,j7UaZBb9F,rube,A rural person.,,False,,53.0,eng,,,,False,False,False,False,False,False,True,166,28,1,2013-06-24 04:50:22,2019-10-30 22:53:42
127,WRaKdghPn,whoriental,An Asian woman (or less often a man) who is promiscuous.,,False,,,eng,,,,False,True,False,True,False,False,False,6,1,1,2019-04-11 20:25:57,2019-10-30 22:50:51
128,jTQCcisbD,whorientals,,,False,,,eng,whoriental,,,False,True,False,True,False,False,False,4,0,0,2019-04-11 20:27:05,2019-10-30 22:50:47
129,zPmE2uCCg,hoosier,A rural or unsophisticated person,A person from Indiana,False,,88.0,eng,,,,False,False,False,False,False,False,True,0,0,0,2013-08-09 15:28:04,2019-10-30 22:47:18
130,pbWuDaapo,hooknoses,,,False,,,eng,hooknose,,,False,True,True,False,False,False,False,16,0,0,2019-04-12 17:15:34,2019-10-30 22:46:53
131,arAfRhXak,hooknosed,,,False,,,eng,,hooknose,,False,True,True,False,False,False,False,155,6,1,2019-04-12 17:16:15,2019-10-30 22:46:48
132,JWkFPrJmY,hooknose,Referring to a stereotypical facial feature of Jewish people,,False,,,eng,,,,False,True,True,False,False,False,False,108,8,0,2019-04-12 17:14:59,2019-10-30 22:46:44
133,hExD3rxQp,dagowops,,,False,,100.0,eng,dagowop,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:19:09,2019-10-30 22:43:58
